uuid,device_ref,instance,object_type,description,jci_name,name,unit
urn:uuid:018f818b-1bfa-42ee-bb71-f973640cb4fe,620,3004276,analogValue,Unoccupied Cooling Setpoint,EBU1.BASEMENT.RM-B902.VAV-B902-1.UNOCCCLG-STPT,NAE-120/FC-2.AH4-SAV-009.UNOCCCLG-STPT,degreesFahrenheit
urn:uuid:b2962b2d-b651-4ad1-9f9b-b5a3ef50b937,620,3004277,analogValue,Unoccupied Heating Setpoint,EBU1.BASEMENT.RM-B902.VAV-B902-1.UNOCCHTG-STPT,NAE-120/FC-2.AH4-SAV-009.UNOCCHTG-STPT,degreesFahrenheit
urn:uuid:354929a5-9d15-42c3-bfcc-aa180e033db3,620,3004285,analogValue,Warmer/Cooler Adjust,EBU1.BASEMENT.RM-B800.VAV-B800-1.WC-ADJ,NAE-120/FC-2.AH4-SAV-010.WC-ADJ,degreesFahrenheit
urn:uuid:7f56a442-e14f-43ba-92ad-2a811684e7d0,620,3004286,analogValue,Actual Cooling Setpoint,EBU1.BASEMENT.RM-B800.VAV-B800-1.ACTCLG-STPT,NAE-120/FC-2.AH4-SAV-010.ACTCLG-STPT,degreesFahrenheit
urn:uuid:eef2996c-18bc-44db-85ff-fc05827c1f1e,620,3004288,analogValue,Actual Heating Setpoint,EBU1.BASEMENT.RM-B800.VAV-B800-1.ACTHTG-STPT,NAE-120/FC-2.AH4-SAV-010.ACTHTG-STPT,degreesFahrenheit
urn:uuid:b78e2519-e7ec-4816-afa1-9eb7f4c620d5,620,3004290,analogValue,Occupied Temperature Setpoint,EBU1.BASEMENT.RM-B800.VAV-B800-1.OCCTEMP-STPT,NAE-120/FC-2.AH4-SAV-010.OCCTEMP-STPT,noUnits
urn:uuid:f1244016-e93a-4b8b-b6a2-b55cad83ca7a,620,3004291,analogValue,Occupied Temperature Deadband,EBU1.BASEMENT.RM-B800.VAV-B800-1.OCCTEMP-DB,NAE-120/FC-2.AH4-SAV-010.OCCTEMP-DB,degreesFahrenheit
urn:uuid:6488ca16-b737-48f5-a200-73879110254a,620,3004294,analogValue,Cooling Demand,EBU1.BASEMENT.RM-B800.VAV-B800-1.CLG-DMD,NAE-120/FC-2.AH4-SAV-010.CLG-DMD,noUnits
urn:uuid:94fb261f-5825-4353-a1e6-125a01cc7202,620,3004300,analogValue,Supply Flow Command,EBU1.BASEMENT.RM-B800.VAV-B800-1.SUPFLOW-COMMAND,NAE-120/FC-2.AH4-SAV-010.SUPFLOW-COMMAND,noUnits
urn:uuid:fc4adb9e-0d89-4b6f-81fe-2afedad0f767,620,3004301,analogValue,Supply Flow Feedback,EBU1.BASEMENT.RM-B800.VAV-B800-1.SUPFLOW-FEEDBACK,NAE-120/FC-2.AH4-SAV-010.SUPFLOW-FEEDBACK,noUnits
urn:uuid:6ad9d950-d35e-45dc-9ef7-b2c350968a92,620,3004303,analogValue,Exhaust Flow Command,EBU1.BASEMENT.RM-B800.VAV-B800-1.EXHFLOW-COMMAND,NAE-120/FC-2.AH4-SAV-010.EXHFLOW-COMMAND,noUnits
urn:uuid:12e952e1-5e28-4ad1-acf9-5d7309af3ac5,620,3004304,analogValue,Exhaust Flow Feedback,EBU1.BASEMENT.RM-B800.VAV-B800-1.EXHFLOW-FEEDBACK,NAE-120/FC-2.AH4-SAV-010.EXHFLOW-FEEDBACK,noUnits
urn:uuid:00443efd-cf26-4e0f-9f2d-8bbfff45b8f4,620,3004306,analogValue,Unoccupied Cooling Setpoint,EBU1.BASEMENT.RM-B800.VAV-B800-1.UNOCCCLG-STPT,NAE-120/FC-2.AH4-SAV-010.UNOCCCLG-STPT,degreesFahrenheit
urn:uuid:1311533a-c8f4-4c07-bb5c-c70b09485dc1,620,3004307,analogValue,Unoccupied Heating Setpoint,EBU1.BASEMENT.RM-B800.VAV-B800-1.UNOCCHTG-STPT,NAE-120/FC-2.AH4-SAV-010.UNOCCHTG-STPT,degreesFahrenheit
urn:uuid:bc87470d-e54b-46e6-93ce-104f445abdf7,620,3004315,analogValue,Warmer/Cooler Adjust,EBU1.BASEMENT.RM-B561.VAV-B561-2.WC-ADJ,NAE-120/FC-2.AH22-VMA-011.WC-ADJ,degreesFahrenheit
urn:uuid:3e9072ce-4bfb-4c68-9afe-652b7abb6360,620,3004326,analogValue,Supply Air Flow,EBU1.BASEMENT.RM-B561.VAV-B561-2.SA-FLOW,NAE-120/FC-2.AH22-VMA-011.SA-FLOW,cubicFeetPerMinute
urn:uuid:ad8e3837-0b88-4e71-97e2-8c258d2365d4,620,3004328,analogValue,Supply Air Flow Setpoint,EBU1.BASEMENT.RM-B561.VAV-B561-2.SAFLOW-STPT,NAE-120/FC-2.AH22-VMA-011.SAFLOW-STPT,cubicFeetPerMinute
urn:uuid:692f18b1-bb99-4ab3-9a61-a8b0cd67750b,620,3004330,analogValue,Cooling Command,EBU1.BASEMENT.RM-B561.VAV-B561-2.CLG-CMD,NAE-120/FC-2.AH22-VMA-011.CLG-CMD,percent
urn:uuid:6501c387-b3cf-4738-b408-753b72544a34,620,3004334,analogValue,Common Setpoint,EBU1.BASEMENT.RM-B561.VAV-B561-2.COM-STPT,NAE-120/FC-2.AH22-VMA-011.COM-STPT,degreesFahrenheit
urn:uuid:0851cd9d-3a98-494e-b04c-c58bf8354000,620,3004336,analogValue,Actual Cooling Setpoint,EBU1.BASEMENT.RM-B561.VAV-B561-2.ACTCLG-STPT,NAE-120/FC-2.AH22-VMA-011.ACTCLG-STPT,degreesFahrenheit
urn:uuid:54a42caf-e6ee-45da-8ad8-8ded115502cf,620,3004338,analogValue,Actual Heating Setpoint,EBU1.BASEMENT.RM-B561.VAV-B561-2.ACTHTG-STPT,NAE-120/FC-2.AH22-VMA-011.ACTHTG-STPT,degreesFahrenheit
urn:uuid:eb115b29-c498-4455-9f36-c65976b288fc,620,3004343,analogValue,Warmer/Cooler Adjust,EBU1.BASEMENT.RM-B707.VAV-B707-1.WC-ADJ,NAE-120/FC-2.AH4-SAV-012.WC-ADJ,degreesFahrenheit
urn:uuid:45c40d28-36bd-442a-ab9c-dd661e338877,620,3004344,analogValue,Actual Cooling Setpoint,EBU1.BASEMENT.RM-B707.VAV-B707-1.ACTCLG-STPT,NAE-120/FC-2.AH4-SAV-012.ACTCLG-STPT,degreesFahrenheit
urn:uuid:238d3823-6413-42a2-bc54-8230b7e8b7fc,620,3004346,analogValue,Actual Heating Setpoint,EBU1.BASEMENT.RM-B707.VAV-B707-1.ACTHTG-STPT,NAE-120/FC-2.AH4-SAV-012.ACTHTG-STPT,degreesFahrenheit
urn:uuid:e8abb070-1be4-4760-9835-30b93f77d88f,620,3004348,analogValue,Occupied Temperature Setpoint,EBU1.BASEMENT.RM-B707.VAV-B707-1.OCCTEMP-STPT,NAE-120/FC-2.AH4-SAV-012.OCCTEMP-STPT,noUnits
urn:uuid:1340d311-bd53-4257-8c3a-9940cb4ed7f9,620,3004349,analogValue,Occupied Temperature Deadband,EBU1.BASEMENT.RM-B707.VAV-B707-1.OCCTEMP-DB,NAE-120/FC-2.AH4-SAV-012.OCCTEMP-DB,degreesFahrenheit
urn:uuid:4b92c384-b890-4084-90c4-75af2328383f,620,3004352,analogValue,Cooling Demand,EBU1.BASEMENT.RM-B707.VAV-B707-1.CLG-DMD,NAE-120/FC-2.AH4-SAV-012.CLG-DMD,noUnits
urn:uuid:4a514cb7-45a1-4b22-a641-53e16703129a,620,3004358,analogValue,Supply Flow Command,EBU1.BASEMENT.RM-B707.VAV-B707-1.SUPFLOW-COMMAND,NAE-120/FC-2.AH4-SAV-012.SUPFLOW-COMMAND,noUnits
urn:uuid:77ea7287-56e7-4541-84c6-218b5b651ae1,620,3004359,analogValue,Supply Flow Feedback,EBU1.BASEMENT.RM-B707.VAV-B707-1.SUPFLOW-FEEDBACK,NAE-120/FC-2.AH4-SAV-012.SUPFLOW-FEEDBACK,noUnits
urn:uuid:d8703b64-2bfa-4b36-a91f-3fcf18a69ca1,620,3004361,analogValue,Exhaust Flow Command,EBU1.BASEMENT.RM-B707.VAV-B707-1.EXHFLOW-COMMAND,NAE-120/FC-2.AH4-SAV-012.EXHFLOW-COMMAND,noUnits
urn:uuid:82c7c00e-debc-4028-afed-f644fbec1aac,620,3004362,analogValue,Exhaust Flow Feedback,EBU1.BASEMENT.RM-B707.VAV-B707-1.EXHFLOW-FEEDBACK,NAE-120/FC-2.AH4-SAV-012.EXHFLOW-FEEDBACK,noUnits
urn:uuid:fd43f481-9c2c-448f-a4ee-21d0afb0fb1c,620,3004364,analogValue,Unoccupied Cooling Setpoint,EBU1.BASEMENT.RM-B707.VAV-B707-1.UNOCCCLG-STPT,NAE-120/FC-2.AH4-SAV-012.UNOCCCLG-STPT,degreesFahrenheit
urn:uuid:b1bb3d08-8f3e-45f0-9528-0ec228365b8d,620,3004365,analogValue,Unoccupied Heating Setpoint,EBU1.BASEMENT.RM-B707.VAV-B707-1.UNOCCHTG-STPT,NAE-120/FC-2.AH4-SAV-012.UNOCCHTG-STPT,degreesFahrenheit
urn:uuid:23f8198e-db24-4ad0-8da3-4bb33854882e,620,3004373,analogValue,Warmer/Cooler Adjust,EBU1.BASEMENT.RM-B703.VAV-B703-1.WC-ADJ,NAE-120/FC-2.AH4-SAV-013.WC-ADJ,degreesFahrenheit
